,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
3055,K6Pb4I5,"[6, 4, 5]","[[1], [-1, 2], [-1]]",K6Pb4I5,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
3056,K6Pb5I1,"[6, 5, 1]","[[1], [-1], [-1]]",K6Pb5I,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3057,K6Pb5I4,"[6, 5, 4]","[[1], [-1, 2], [-1]]",K6Pb5I4,[],[],"[1.0, 0.2688, 0.906]",0.2435328,0.594690265,FALSE,FALSE
3058,K6Pb5I7,"[6, 5, 7]","[[1], [-1, 2], [-1]]",K6Pb5I7,[],[],"[1.0, 0.3146, 0.906]",0.2850276,0.696017699,FALSE,FALSE
3059,K6Pb6I3,"[6, 6, 3]","[[1], [-1, 2], [-1]]",K2Pb2I,[],[],"[1.0, 0.26116666666666666, 0.906]",0.236617,0.57780236,FALSE,FALSE
3060,K6Pb7I2,"[6, 7, 2]","[[1], [-1, 2], [-1]]",K6Pb7I2,[],[],"[1.0, 0.2557142857142857, 0.906]",0.231677143,0.56573957,FALSE,FALSE
3061,K6Pb7I5,"[6, 7, 5]","[[1], [-1, 2], [-1]]",K6Pb7I5,[],[],"[1.0, 0.2884285714285714, 0.906]",0.261316286,0.638116308,FALSE,FALSE
3062,K6Pb8I1,"[6, 8, 1]","[[1], [-1, 2], [-1]]",K6Pb8I,[],[],"[1.0, 0.251625, 0.906]",0.22797225,0.556692478,FALSE,FALSE
3063,K6Pb9I3,"[6, 9, 3]","[[1], [-1, 2], [-1]]",K2Pb3I,[],[],"[1.0, 0.2738888888888889, 0.906]",0.248143333,0.605948869,FALSE,FALSE
3064,K6Pb11I1,"[6, 11, 1]","[[1], [-1, 2], [-1]]",K6Pb11I,[],[],"[1.0, 0.26463636363636367, 0.906]",0.239760545,0.585478681,FALSE,FALSE
3065,K7Pb1I6,"[7, 1, 6]","[[1], [-1], [-1]]",K7PbI6,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3066,K7Pb1I9,"[7, 1, 9]","[[1], [2], [-1]]",K7PbI9,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3067,K7Pb2I5,"[7, 2, 5]","[[1], [-1], [-1]]",K7Pb2I5,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3068,K7Pb2I8,"[7, 2, 8]","[[1], [-1, 2], [-1]]",K7(PbI4)2,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
